"account_id","id","city","coordinates","country","device_id","hl","ip","open_from_qr_code","platform","viewing_date"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","IXJM8F","plaisance-du-touch","[{""N"":""43.5655""},{""N"":""1.2965""}]","fr","2597661012.1680312785801","fr","86.249.148.170","false","web","2023-04-01T01:33:09.738Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","MJ5WRk","paris","[{""N"":""48.8331""},{""N"":""2.3264""}]","fr","2047358982.1667950602534","fr","92.184.117.65","false","web","2022-12-28T00:19:28.680Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","O0xwKE","bordeaux","[{""N"":""-0.5805""},{""N"":""44.8404""}]","fr","6864572312.1668906081515","fr","92.184.108.247","false","app","2022-12-10T21:07:28.380Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","OPJT3V","strasbourg","[{""N"":""48.5839""},{""N"":""7.7455""}]","fr","2047358982.1667950602534","en","92.184.124.75","false","web","2023-01-18T15:35:54.845Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","ORK9d1","marignane","[{""N"":""5.2146""},{""N"":""43.4173""}]","fr","6864572312.1668906081515","en","185.222.240.118","false","app","2023-01-15T19:23:11.472Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","Pa3V5Z","Bordeaux","[{""N"":""-0.5805""},{""N"":""44.8404""}]","fr","UKJEA06Vl","fr","92.184.108.209","false","","2022-11-10T10:56:53.498Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","QGilHP","new york city","[{""N"":""-73.9967""},{""N"":""40.7484""}]","us","6864572312.1668906081515","en","45.15.176.239","false","app","2023-01-29T00:24:18.641Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","VVOv0v","new york city","[{""N"":""-74.006""},{""N"":""40.7143""}]","us","6864572312.1668906081515","fr","37.19.196.61","false","app","2022-12-26T23:47:28.719Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","YOlh8U","colomiers","[{""N"":""1.3347""},{""N"":""43.6106""}]","fr","5752083506.1668813242600","en","80.9.240.131","false","app","2022-12-07T15:23:16.596Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","ZHBEML","colomiers","[{""N"":""1.3347""},{""N"":""43.6106""}]","fr","5752083506.1668813242600","en","80.9.240.131","false","app","2022-11-26T08:32:42.293Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","ZKV0kL","lille","[{""N"":""3.0586""},{""N"":""50.633""}]","fr","6864572312.1668906081515","en","92.184.123.23","false","app","2023-01-20T20:08:46.332Z"
